synonyms,current name,,on bayly tree,In trait dataset
Corymbia catenaria,Corymbia watsoniana subsp. capillata,/good,N,N
Corymbia dampieri,Corymbia greeniana,/good,N,N
Corymbia dimorpha,Corymbia peltata,/good,N,N
Corymbia dolichocarpa,Corymbia clarksoniana,/good,N,N
Corymbia opaca,Corymbia terminalis,Both current on APC so must check dataset,Neither,Neither
Corymbia porphyritica,Corymbia ellipsoidea,/good,N,N
Corymbia variegata,Corymbia citriodora,/good,N,N
Eucalyptus corticosa,Eucalyptus argophloia,Both current on APC so must check dataset,Neither,Neither
Eucalyptus cuspidata,Eucalyptus angulosa,Both current on APC so must check dataset,Neither,angulosa
Eucalyptus largiflorens,Eucalyptus bicolor,Still largiflorens on APC,N,largiflorens
Eucalyptus leptophylla,Eucalyptus foecunda,Both current on APC so must check dataset,Neither,leptophylla
Eucalyptus nitida,Eucalyptus ambigua,"Still nitida on APC, though stricta is also a synonym with current accepted use",N,Neither
Eucalyptus persistens,Eucalyptus tardecidens,both correct on APC so need to see which names are in the other tree and the tait dataset,Neither,Neither
Eucalyptus petiolaris,Eucalyptus leucoxylon subsp. petiolaris,Still petiolaris on APC,N,Neither
Eucalyptus pilligaensis,Eucalyptus woollsiana,/good,N,N
Eucalyptus plauta,Eucalyptus dissimulata subsp. plauta,not on APC and neither Is the older name,Neither,Neither
Eucalyptus pleurocarpa,Eucalyptus tetragona,not on APC but initial name valid on APC so need to check which is used in dataset and other tree,Neither,pleurocarpa
Eucalyptus sparsifolia,Eucalyptus oblonga,Still sparsifolia on APC but also a synonym of eugenioides and partially of globoidea,N,Neither
Eucalyptus yangoura,Eucalyptus globoidea,/good,N,"Y, needs changing"
Hypocalymma linifolium,Hypocalymma tetrapterum,older name valid on APC,N,N